tier,company,ats,id,api_endpoint,rnd_jobs,total_jobs,category,size,top_cities,hiring_evidence,id_source
A,Mobileye,lever,mobileye,https://api.lever.co/v0/postings/mobileye?mode=json  (EU: api.eu.lever.co),64,87,Automotive,l,ירושלים,live R&D jobs in feed,web_search(URL observed)
A,SolarEdge Technologies,comeet,SolarEdge/71.00A,https://www.comeet.co/careers-api/2.0/company/71.00A/positions?token=71.00A,25,38,Sustainable Technology,l,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,VAST Data,comeet,vastdata/43.001,https://www.comeet.co/careers-api/2.0/company/43.001/positions?token=43.001,25,30,Cloud Computing,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,DriveNets,comeet,drivenets/72.006,https://www.comeet.co/careers-api/2.0/company/72.006/positions?token=72.006,22,25,Productivity,l,רעננה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Island,comeet,island/09.00A,https://www.comeet.co/careers-api/2.0/company/09.00A/positions?token=09.00A,16,21,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Aidoc,comeet,Aidoc/B4.007,https://www.comeet.co/careers-api/2.0/company/B4.007/positions?token=B4.007,15,18,Health,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies
A,Wiz,greenhouse,wizprivate,https://boards-api.greenhouse.io/v1/boards/wizprivate/jobs,13,22,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed)
A,BIRD Aerosystems,comeet,birdaero/97.006,https://www.comeet.co/careers-api/2.0/company/97.006/positions?token=97.006,12,16,Aerospace,m,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,CEVA,comeet,ceva/76.005,https://www.comeet.co/careers-api/2.0/company/76.005/positions?token=76.005,12,14,Productivity,l,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,WalkMe,lever,walkme,https://api.lever.co/v0/postings/walkme?mode=json  (EU: api.eu.lever.co),11,17,Productivity,l,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed)
A,Cellebrite,comeet,Cellebrite/C3.00F,https://www.comeet.co/careers-api/2.0/company/C3.00F/positions?token=C3.00F,10,14,Cybersecurity,l,פתח תקווה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Cross River Technologies,comeet,crossriver/C7.00F,https://www.comeet.co/careers-api/2.0/company/C7.00F/positions?token=C7.00F,10,16,Fintech,m,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,D-Fend Solutions,lever,d-fendsolutions,https://api.lever.co/v0/postings/d-fendsolutions?mode=json  (EU: api.eu.lever.co),10,12,Aerospace,m,רעננה,live R&D jobs in feed,techmap/companies
A,Ceragon Networks,comeet,Ceragon/D3.003,https://www.comeet.co/careers-api/2.0/company/D3.003/positions?token=D3.003,9,14,Telecommunications,l,ראש העין,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Forter,greenhouse,forter,https://boards-api.greenhouse.io/v1/boards/forter/jobs,9,13,Fintech,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies
A,Transmit Security,greenhouse,transmitsecurity,https://boards-api.greenhouse.io/v1/boards/transmitsecurity/jobs,9,11,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies
A,Fireblocks,greenhouse,fireblocks,https://boards-api.greenhouse.io/v1/boards/fireblocks/jobs,8,11,Fintech,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; web_search(URL observed)
A,Retym,comeet,retym/C6.003,https://www.comeet.co/careers-api/2.0/company/C6.003/positions?token=C6.003,8,13,Productivity,s,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Silverfort,comeet,silverfort/54.007,https://www.comeet.co/careers-api/2.0/company/54.007/positions?token=54.007,8,10,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Armis,greenhouse,armissecurity,https://boards-api.greenhouse.io/v1/boards/armissecurity/jobs,7,10,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed)
A,Arpeely,comeet,arpeely/57.001,https://www.comeet.co/careers-api/2.0/company/57.001/positions?token=57.001,7,14,AdTech,m,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Cloudinary,lever,cloudinary,https://api.lever.co/v0/postings/cloudinary?mode=json  (EU: api.eu.lever.co),7,11,Cloud Computing,l,פתח תקווה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Enercon,comeet,enercon/A4.00D,https://www.comeet.co/careers-api/2.0/company/A4.00D/positions?token=A4.00D,7,10,Aerospace,m,נתניה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,HiBob,comeet,hibob/12.00A,https://www.comeet.co/careers-api/2.0/company/12.00A/positions?token=12.00A,7,15,Productivity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies
A,Moon Active,comeet,moonactive/A2.00C,https://www.comeet.co/careers-api/2.0/company/A2.00C/positions?token=A2.00C,7,20,Gaming,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies
A,Navan,greenhouse,TripActions,https://boards-api.greenhouse.io/v1/boards/TripActions/jobs,7,9,E-commerce & Retail,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies
A,Netafim,comeet,netafim/B7.002,https://www.comeet.co/careers-api/2.0/company/B7.002/positions?token=B7.002,7,18,Sustainable Technology,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,NextSilicon,comeet,nextsilicon/18.007,https://www.comeet.co/careers-api/2.0/company/18.007/positions?token=18.007,7,15,Semiconductors,l,גבעתיים,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Wiliot,comeet,wiliot/F6.003,https://www.comeet.co/careers-api/2.0/company/F6.003/positions?token=F6.003,7,8,IoT,l,קיסריה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,ACS Motion Control,comeet,ACS/14.000,https://www.comeet.co/careers-api/2.0/company/14.000/positions?token=14.000,6,12,Robotics & Automation,m,יקנעם עילית,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,ActiveFence,comeet,activefence/D5.005,https://www.comeet.co/careers-api/2.0/company/D5.005/positions?token=D5.005,6,12,Cybersecurity,l,בנימינה גבעת עדה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Aitech,comeet,aitechsystems/88.004,https://www.comeet.co/careers-api/2.0/company/88.004/positions?token=88.004,6,7,Aerospace,l,כפר סבא,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Fetcherr,comeet,fetcherr/68.006,https://www.comeet.co/careers-api/2.0/company/68.006/positions?token=68.006,6,7,AI/ML,m,נתניה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Innoviz Technologies,comeet,innoviz/52.004,https://www.comeet.co/careers-api/2.0/company/52.004/positions?token=52.004,6,8,Cybersecurity,l,Rosh Haayin,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,mPrest,comeet,mprest/38.005,https://www.comeet.co/careers-api/2.0/company/38.005/positions?token=38.005,6,8,IoT,m,פתח תקווה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Parallel Wireless,lever,parallelwireless,https://api.lever.co/v0/postings/parallelwireless?mode=json  (EU: api.eu.lever.co),6,6,Telecommunications,l,צור יגאל,live R&D jobs in feed,techmap/companies
A,Plus500,comeet,plus500/A1.00F,https://www.comeet.co/careers-api/2.0/company/A1.00F/positions?token=A1.00F,6,21,Fintech,l,חיפה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Riverside.fm,comeet,riverside-fm/66.009,https://www.comeet.co/careers-api/2.0/company/66.009/positions?token=66.009,6,14,AI/ML,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,SimilarWeb,greenhouse,similarweb,https://boards-api.greenhouse.io/v1/boards/similarweb/jobs,6,19,Productivity,l,גבעתיים,live R&D jobs in feed,techmap/companies; web_search(URL observed)
A,Claroty,comeet,Claroty/F2.004,https://www.comeet.co/careers-api/2.0/company/F2.004/positions?token=F2.004,5,9,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,CYE,lever,CYE,https://api.lever.co/v0/postings/CYE?mode=json  (EU: api.eu.lever.co),5,6,Cybersecurity,m,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,DealHub,comeet,dealhub/86.005,https://www.comeet.co/careers-api/2.0/company/86.005/positions?token=86.005,5,14,Productivity,l,חולון,live R&D jobs in feed,techmap/companies; techmap/jobs(live); web_search(URL observed)
A,Final,comeet,final/C0.009,https://www.comeet.co/careers-api/2.0/company/C0.009/positions?token=C0.009,5,5,Fintech,l,הרצליה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Guardio,comeet,guardio/57.000,https://www.comeet.co/careers-api/2.0/company/57.000/positions?token=57.000,5,23,Cybersecurity,m,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,JFrog,greenhouse,jfrog,https://boards-api.greenhouse.io/v1/boards/jfrog/jobs,5,10,Cloud Computing,l,נתניה,live R&D jobs in feed,techmap/companies; web_search(URL observed)
A,Port,comeet,port/59.004,https://www.comeet.co/careers-api/2.0/company/59.004/positions?token=59.004,5,9,Productivity,m,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed)
A,Tipalti,greenhouse,tipaltisolutions,https://boards-api.greenhouse.io/v1/boards/tipaltisolutions/jobs,5,5,Fintech,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies
A,Vectorious Medical Technologies,comeet,vectoriousmedtech/68.003,https://www.comeet.co/careers-api/2.0/company/68.003/positions?token=68.003,5,6,Health,m,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Aqua Security,comeet,aquasec/91.001,https://www.comeet.co/careers-api/2.0/company/91.001/positions?token=91.001,4,7,Cybersecurity,l,רמת גן,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Axonius,greenhouse,axonius,https://boards-api.greenhouse.io/v1/boards/axonius/jobs,4,9,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; web_search(URL observed)
A,BioCatch,comeet,biocatch/03.00E,https://www.comeet.co/careers-api/2.0/company/03.00E/positions?token=03.00E,4,7,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,BioCatch,lever,biocatch,https://api.lever.co/v0/postings/biocatch?mode=json  (EU: api.eu.lever.co),4,7,Cybersecurity,l,תל אביב-יפו,live R&D jobs in feed,web_search(URL observed)
A,Cardo Systems,comeet,cardosystems/F2.003,https://www.comeet.co/careers-api/2.0/company/F2.003/positions?token=F2.003,4,6,Telecommunications,m,רעננה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Checkmarx,comeet,checkmarx/C0.008,https://www.comeet.co/careers-api/2.0/company/C0.008/positions?token=C0.008,4,4,Cybersecurity,l,Ramat Gan,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Coralogix,comeet,coralogix/06.004,https://www.comeet.co/careers-api/2.0/company/06.004/positions?token=06.004,4,13,Cloud Computing,l,רמת גן,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Eitan Medical,comeet,eitanmedical/C6.00F,https://www.comeet.co/careers-api/2.0/company/C6.00F/positions?token=C6.00F,4,5,Health,l,נתניה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Global-e,comeet,global-e/62.002,https://www.comeet.co/careers-api/2.0/company/62.002/positions?token=62.002,4,17,Productivity,l,פתח תקווה,live R&D jobs in feed,techmap/companies; techmap/jobs(live)
A,Lightricks,greenhouse,lightricks,https://boards-api.greenhouse.io/v1/boards/lightricks/jobs,4,5,Digital Media,l,ירושלים,live R&D jobs in feed,techmap/companies; web_search(URL observed)
