company,slug,jobs,israel_jobs,reason
CloudShare,cloudshare,5,1,"no Israel-relevant postings in a target job family (5 on board, 1 Israel-relevant)"
FPM Global,fpm-global,6,1,"no Israel-relevant postings in a target job family (6 on board, 1 Israel-relevant)"
Gramian Consulting Group,gramian-consulting-group,0,0,account endpoint did not answer
Healthee,healthee,2,1,"no Israel-relevant postings in a target job family (2 on board, 1 Israel-relevant)"
Humanz,humanz,6,2,"no Israel-relevant postings in a target job family (6 on board, 2 Israel-relevant)"
Huzzle,huzzle,2360,2,"no Israel-relevant postings in a target job family (2360 on board, 2 Israel-relevant)"
JoVE,jove,117,1,"no Israel-relevant postings in a target job family (117 on board, 1 Israel-relevant)"
L.Raphael,l.raphael,0,0,account endpoint did not answer
Libertex Group,libertex-group,0,0,board is empty
Mindrift,mindrift,0,0,board is empty
Mindrift - Data annotation,mindrift---data-annotation,0,0,account endpoint did not answer
Oversee,oversee,4,0,"no Israel-relevant postings in a target job family (4 on board, 0 Israel-relevant)"
Premium Merchant Funding,premium-merchant-funding,0,0,board is empty
Regatta,regatta,0,0,board is empty
Risco Group,risco-group,0,0,board is empty
Shifters,shifters,0,0,board is empty
Side,side,0,0,board is empty
Sigenergy,sigenergy,1,1,"no Israel-relevant postings in a target job family (1 on board, 1 Israel-relevant)"
Square One,square-one,0,0,board is empty
Tomax Think Academy,tomax-think-academy,0,0,account endpoint did not answer
Visit.org,visit.org,0,0,account endpoint did not answer
my team,my-team,0,0,board is empty
